| #  | Titel                                                                                                                      | Autor        | Quelle (Public Domain) |
| -- | -------------------------------------------------------------------------------------------------------------------------- | ------------ | ---------------------- |
| 1  | [Aschenputtel](https://de.wikisource.org/wiki/Aschenputtel)                                                                | Brüder Grimm | Wikisource             |
| 2  | [Schneewittchen](https://de.wikisource.org/wiki/Schneewittchen)                                                            | Brüder Grimm | Wikisource             |
| 3  | [Dornröschen](https://de.wikisource.org/wiki/Dornr%C3%B6schen)                                                             | Brüder Grimm | Wikisource             |
| 4  | [Rotkäppchen](https://de.wikisource.org/wiki/Rotk%C3%A4ppchen)                                                             | Brüder Grimm | Wikisource             |
| 5  | [Hänsel und Gretel](https://de.wikisource.org/wiki/H%C3%A4nsel_und_Gretel)                                                 | Brüder Grimm | Wikisource             |
| 6  | [Rumpelstilzchen](https://de.wikisource.org/wiki/Rumpelstilzchen)                                                          | Brüder Grimm | Wikisource             |
| 7  | [Der Froschkönig oder der eiserne Heinrich](https://de.wikisource.org/wiki/Der_Froschk%C3%B6nig_oder_der_eiserne_Heinrich) | Brüder Grimm | Wikisource             |
| 8  | [Von dem Fischer und seiner Frau](https://de.wikisource.org/wiki/Von_dem_Fischer_und_seiner_Frau)                          | Brüder Grimm | Wikisource             |
| 9  | [Das tapfere Schneiderlein](https://de.wikisource.org/wiki/Das_tapfere_Schneiderlein)                                      | Brüder Grimm | Wikisource             |
| 10 | [Die Gänsemagd](https://de.wikisource.org/wiki/Die_G%C3%A4nsemagd)                                                         | Brüder Grimm | Wikisource             |
| 11 | [Die zwölf Brüder](https://de.wikisource.org/wiki/Die_zw%C3%B6lf_Br%C3%BCder)                                              | Brüder Grimm | Wikisource             |
| 12 | [Die sechs Schwäne](https://de.wikisource.org/wiki/Die_sechs_Schw%C3%A4ne)                                                 | Brüder Grimm | Wikisource             |
| 13 | [Der goldene Vogel](https://de.wikisource.org/wiki/Der_goldene_Vogel)                                                      | Brüder Grimm | Wikisource             |
| 14 | [Die Wichtelmänner](https://de.wikisource.org/wiki/Die_Wichtelm%C3%A4nner)                                                 | Brüder Grimm | Wikisource             |
| 15 | [Die Bremer Stadtmusikanten](https://de.wikisource.org/wiki/Die_Bremer_Stadtmusikanten)                                    | Brüder Grimm | Wikisource             |
| 16 | [Der Wolf und die sieben jungen Geißlein](https://de.wikisource.org/wiki/Der_Wolf_und_die_sieben_jungen_Gei%C3%9Flein)     | Brüder Grimm | Wikisource             |
| 17 | [Die Bienenkönigin](https://de.wikisource.org/wiki/Die_Bienenk%C3%B6nigin)                                                 | Brüder Grimm | Wikisource             |
| 18 | [Die goldene Gans](https://de.wikisource.org/wiki/Die_goldene_Gans)                                                        | Brüder Grimm | Wikisource             |
| 19 | [Der singende Knochen](https://de.wikisource.org/wiki/Der_singende_Knochen)                                                | Brüder Grimm | Wikisource             |
| 20 | [Von dem Machandelboom](https://de.wikisource.org/wiki/Von_dem_Machandelboom)                                              | Brüder Grimm | Wikisource             |
| 21 | [Die Sterntaler](https://de.wikisource.org/wiki/Die_Sterntaler)                                                            | Brüder Grimm | Wikisource             |
| 22 | [Die Nixe im Teich](https://de.wikisource.org/wiki/Die_Nixe_im_Teich)                                                      | Brüder Grimm | Wikisource             |
| 23 | [Das Waldhaus](https://de.wikisource.org/wiki/Das_Waldhaus)                                                                | Brüder Grimm | Wikisource             |
| 24 | [Der Eisenofen](https://de.wikisource.org/wiki/Der_Eisenofen)                                                              | Brüder Grimm | Wikisource             |
| 25 | [Das Eselein](https://de.wikisource.org/wiki/Das_Eselein)                                                                  | Brüder Grimm | Wikisource             |
| 26 | [Die Kristallkugel](https://de.wikisource.org/wiki/Die_Kristallkugel)                                                      | Brüder Grimm | Wikisource             |
| 27 | [Das Wasser des Lebens](https://de.wikisource.org/wiki/Das_Wasser_des_Lebens)                                              | Brüder Grimm | Wikisource             |
| 28 | [Die drei Vögelchen](https://de.wikisource.org/wiki/Die_drei_V%C3%B6gelchen)                                               | Brüder Grimm | Wikisource             |
| 29 | [Der alte Sultan](https://de.wikisource.org/wiki/Der_alte_Sultan)                                                          | Brüder Grimm | Wikisource             |
| 30 | [Schneeweißchen und Rosenrot](https://de.wikisource.org/wiki/Schneewei%C3%9Fchen_und_Rosenrot)                             | Brüder Grimm | Wikisource             |
