| #                                                    | Title                                             | Author / Origin                                     | Public-Domain Source                                        |
| ---------------------------------------------------- | ------------------------------------------------- | --------------------------------------------------- | ----------------------------------------------------------- |
| **🇬🇧 English Classics**                            |                                                   |                                                     |                                                             |
| 1                                                    | Alice’s Adventures in Wonderland                  | Lewis Carroll                                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/11)    |
| 2                                                    | Through the Looking-Glass                         | Lewis Carroll                                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/12)    |
| 3                                                    | The Wonderful Wizard of Oz                        | L. Frank Baum                                       | [Project Gutenberg](https://www.gutenberg.org/ebooks/55)    |
| 4                                                    | Peter Pan                                         | J. M. Barrie                                        | [Project Gutenberg](https://www.gutenberg.org/ebooks/16)    |
| 5                                                    | The Wind in the Willows                           | Kenneth Grahame                                     | [Project Gutenberg](https://www.gutenberg.org/ebooks/27805) |
| 6                                                    | The Velveteen Rabbit                              | Margery Williams                                    | [Project Gutenberg](https://www.gutenberg.org/ebooks/11757) |
| 7                                                    | A Christmas Carol                                 | Charles Dickens                                     | [Project Gutenberg](https://www.gutenberg.org/ebooks/46)    |
| 8                                                    | The Secret Garden                                 | Frances Hodgson Burnett                             | [Project Gutenberg](https://www.gutenberg.org/ebooks/113)   |
| 9                                                    | Little Women                                      | Louisa May Alcott                                   | [Project Gutenberg](https://www.gutenberg.org/ebooks/514)   |
| 10                                                   | The Jungle Book                                   | Rudyard Kipling                                     | [Project Gutenberg](https://www.gutenberg.org/ebooks/236)   |
| **🇫🇷 French Fairy Tales (in English)**             |                                                   |                                                     |                                                             |
| 11                                                   | Cinderella, or The Little Glass Slipper           | Charles Perrault                                    | [Project Gutenberg](https://www.gutenberg.org/ebooks/29021) |
| 12                                                   | Sleeping Beauty                                   | Charles Perrault                                    | [Project Gutenberg](https://www.gutenberg.org/ebooks/29021) |
| 13                                                   | Little Red Riding Hood                            | Charles Perrault                                    | [Project Gutenberg](https://www.gutenberg.org/ebooks/29021) |
| 14                                                   | Bluebeard                                         | Charles Perrault                                    | [Project Gutenberg](https://www.gutenberg.org/ebooks/29021) |
| 15                                                   | Puss in Boots                                     | Charles Perrault                                    | [Project Gutenberg](https://www.gutenberg.org/ebooks/29021) |
| 16                                                   | Beauty and the Beast                              | Jeanne-Marie Leprince de Beaumont                   | [Project Gutenberg](https://www.gutenberg.org/ebooks/7074)  |
| 17                                                   | The White Cat                                     | Marie-Catherine d’Aulnoy                            | [Project Gutenberg](https://www.gutenberg.org/ebooks/32570) |
| 18                                                   | The Blue Bird                                     | Marie-Catherine d’Aulnoy                            | [Project Gutenberg](https://www.gutenberg.org/ebooks/32570) |
| 19                                                   | Gracieuse and Percinet                            | Marie-Catherine d’Aulnoy                            | [Project Gutenberg](https://www.gutenberg.org/ebooks/32570) |
| 20                                                   | Finette Cendron                                   | Marie-Catherine d’Aulnoy                            | [Project Gutenberg](https://www.gutenberg.org/ebooks/32570) |
