| #  | Titre                                                    | Auteur                            | Source domaine public                                                                                                             |
| -- | -------------------------------------------------------- | --------------------------------- | --------------------------------------------------------------------------------------------------------------------------------- |
| 1  | Le petit Chaperon rouge                                  | Charles Perrault                  | [Wikisource (éd. 1902)](https://fr.wikisource.org/wiki/Le_Petit_Chaperon_rouge_%28Perrault%29)                                    |
| 2  | Cendrillon ou la petite Pantoufle de verre               | Charles Perrault                  | [Wikisource (éd. 1902)](https://fr.wikisource.org/wiki/Cendrillon_ou_la_Petite_Pantoufle_de_verre)                                |
| 3  | La Belle au Bois dormant                                 | Charles Perrault                  | [Wikisource (éd. 1902 / éd. illustrée)](https://fr.wikisource.org/wiki/La_Belle_au_bois_dormant_%28Perrault%29)                   |
| 4  | Le Maître Chat ou le Chat botté                          | Charles Perrault                  | [Wikisource (éd. 1902 / éd. illustrée)](https://fr.wikisource.org/wiki/Le_Ma%C3%AEtre_Chat_ou_le_Chat_bott%C3%A9)                 |
| 5  | Le Petit Poucet                                          | Charles Perrault                  | [Wikisource (éd. 1902 / éd. illustrée)](https://fr.wikisource.org/wiki/Le_Petit_Poucet_%28Perrault%29)                            |
| 6  | Riquet à la Houppe                                       | Charles Perrault                  | [Wikisource (éd. 1902 / 1697 original)](https://fr.wikisource.org/wiki/Riquet_%C3%A0_la_houppe_%28Perrault%29)                    |
| 7  | Peau d’Âne                                               | Charles Perrault                  | [Wikisource (éd. 1902 / autres éd.)](https://fr.wikisource.org/wiki/Peau_d%E2%80%99%C3%82ne_%28Perrault%29)                       |
| 8  | Les Fées                                                 | Charles Perrault                  | [Wikisource (éd. 1902 / 1697 original)](https://fr.wikisource.org/wiki/Les_F%C3%A9es_%28Perrault%29)                              |
| 9  | Les Souhaits ridicules                                   | Charles Perrault                  | [Wikisource (éd. 1902)](https://fr.wikisource.org/wiki/Les_Souhaits_ridicules_%28Perrault%29)                                     |
| 10 | La Barbe-Bleue                                           | Charles Perrault                  | [Wikisource (éd. 1902 / 1697 original)](https://fr.wikisource.org/wiki/La_Barbe-bleue_%28Perrault%29)                             |
